Origin,Destination,Distance_km
Titagarh,Barakpur,3.26
Barakpur,Titagarh,3.26
Titagarh,Shrirampur,27.14
Shrirampur,Titagarh,27.14
Titagarh,Chakapara,16.23
Chakapara,Titagarh,16.23
Titagarh,Dam Dam,19.64
Dam Dam,Titagarh,19.64
Titagarh,Chandannagar,48.03
Chandannagar,Titagarh,48.03
Titagarh,Salt Lake City,19.2
Salt Lake City,Titagarh,19.2
Titagarh,Bhatpara,18.22
Bhatpara,Titagarh,18.22
Titagarh,Haora,28.98
Haora,Titagarh,28.98
Titagarh,Kolkata,21.35
Kolkata,Titagarh,21.35
Titagarh,Bansbaria,35.94
Bansbaria,Titagarh,35.94
Dam Dam,Salt Lake City,3.96
Salt Lake City,Dam Dam,3.96
Dam Dam,Chakapara,17.72
Chakapara,Dam Dam,17.72
Dam Dam,Kolkata,11.8
Kolkata,Dam Dam,11.8
Dam Dam,Haora,13.21
Haora,Dam Dam,13.21
Dam Dam,Titagarh,22.45
Titagarh,Dam Dam,22.45
Dam Dam,Barakpur,24.89
Barakpur,Dam Dam,24.89
Dam Dam,Shrirampur,28.63
Shrirampur,Dam Dam,28.63
Dam Dam,Bhatpara,36.05
Bhatpara,Dam Dam,36.05
Dam Dam,Chandannagar,45.61
Chandannagar,Dam Dam,45.61
Dam Dam,Baj Baj,34.56
Baj Baj,Dam Dam,34.56
Bansbaria,Bhatpara,17.2
Bhatpara,Bansbaria,17.2
Bansbaria,Chandannagar,13.62
Chandannagar,Bansbaria,13.62
Bansbaria,Barakpur,33.49
Barakpur,Bansbaria,33.49
Bansbaria,Shrirampur,30.7
Shrirampur,Bansbaria,30.7
Bansbaria,Titagarh,36.24
Titagarh,Bansbaria,36.24
Bansbaria,Chakapara,53.17
Chakapara,Bansbaria,53.17
Bansbaria,Dam Dam,49.63
Dam Dam,Bansbaria,49.63
Bansbaria,Salt Lake City,51.53
Salt Lake City,Bansbaria,51.53
Bansbaria,Haora,53.67
Haora,Bansbaria,53.67
Bansbaria,Kolkata,56.69
Kolkata,Bansbaria,56.69
Madhavaram,Manali,7.09
Manali,Madhavaram,7.09
Madhavaram,Tiruvottiyur,11.54
Tiruvottiyur,Madhavaram,11.54
Madhavaram,Chennai,10.93
Chennai,Madhavaram,10.93
Madhavaram,Ambattur,14.7
Ambattur,Madhavaram,14.7
Madhavaram,Nerkunram,15.5
Nerkunram,Madhavaram,15.5
Madhavaram,Madipakkam,27.88
Madipakkam,Madhavaram,27.88
Madhavaram,Pallavaram,28.09
Pallavaram,Madhavaram,28.09
Madhavaram,Oulgaret,168.18
Oulgaret,Madhavaram,168.18
Madhavaram,Puducherry,173.11
Puducherry,Madhavaram,173.11
Madhavaram,Yelahanka,334.65
Yelahanka,Madhavaram,334.65
Abbigeri,Dasarhalli,6.36
Dasarhalli,Abbigeri,6.36
Abbigeri,Byatarayanpur,11.82
Byatarayanpur,Abbigeri,11.82
Abbigeri,Yelahanka,10.14
Yelahanka,Abbigeri,10.14
Abbigeri,Herohalli,15.33
Herohalli,Abbigeri,15.33
Abbigeri,Bangalore,16.17
Bangalore,Abbigeri,16.17
Abbigeri,Oulgaret,344.79
Oulgaret,Abbigeri,344.79
Abbigeri,Puducherry,349.72
Puducherry,Abbigeri,349.72
Abbigeri,Pappakurichchi,360.61
Pappakurichchi,Abbigeri,360.61
Abbigeri,Pallavaram,323.45
Pallavaram,Abbigeri,323.45
Abbigeri,Ambattur,330.05
Ambattur,Abbigeri,330.05
Baj Baj,Bauria,5.21
Bauria,Baj Baj,5.21
Baj Baj,Haora,28.17
Haora,Baj Baj,28.17
Baj Baj,Kolkata,25.44
Kolkata,Baj Baj,25.44
Baj Baj,Chakapara,34.26
Chakapara,Baj Baj,34.26
Baj Baj,Salt Lake City,31.79
Salt Lake City,Baj Baj,31.79
Baj Baj,Dam Dam,34.76
Dam Dam,Baj Baj,34.76
Baj Baj,Shrirampur,49.69
Shrirampur,Baj Baj,49.69
Baj Baj,Titagarh,44.54
Titagarh,Baj Baj,44.54
Baj Baj,Barakpur,47.05
Barakpur,Baj Baj,47.05
Baj Baj,Chandannagar,66.34
Chandannagar,Baj Baj,66.34
Garhi,Dalupura,4.88
Dalupura,Garhi,4.88
Garhi,Delhi,14.05
Delhi,Garhi,14.05
Garhi,Murtazabad,14.18
Murtazabad,Garhi,14.18
Garhi,Ghaziabad,16.34
Ghaziabad,Garhi,16.34
Garhi,New Delhi,13.52
New Delhi,Garhi,13.52
Garhi,Loni,17.7
Loni,Garhi,17.7
Garhi,Bhalswa Jahangirpur,25.28
Bhalswa Jahangirpur,Garhi,25.28
Garhi,Faridabad,30.17
Faridabad,Garhi,30.17
Garhi,Nangloi Jat,29.38
Nangloi Jat,Garhi,29.38
Garhi,Sultanpur Mazra,31.18
Sultanpur Mazra,Garhi,31.18
Mirpeta,Hyderabad,8.09
Hyderabad,Mirpeta,8.09
Mirpeta,Secunderabad,17.42
Secunderabad,Mirpeta,17.42
Mirpeta,Kukatpalli,23.88
Kukatpalli,Mirpeta,23.88
Mirpeta,Vijayavada,268.17
Vijayavada,Mirpeta,268.17
Mirpeta,Nagpur,501.75
Nagpur,Mirpeta,501.75
Mirpeta,Aurangabad,542.78
Aurangabad,Mirpeta,542.78
Mirpeta,Yelahanka,549.29
Yelahanka,Mirpeta,549.29
Mirpeta,Byatarayanpur,553.88
Byatarayanpur,Mirpeta,553.88
Mirpeta,Abbigeri,554.56
Abbigeri,Mirpeta,554.56
Mirpeta,Dasarhalli,559.14
Dasarhalli,Mirpeta,559.14
Nerkunram,Chennai,9.95
Chennai,Nerkunram,9.95
Nerkunram,Ambattur,11.83
Ambattur,Nerkunram,11.83
Nerkunram,Madhavaram,15.04
Madhavaram,Nerkunram,15.04
Nerkunram,Madipakkam,14.56
Madipakkam,Nerkunram,14.56
Nerkunram,Pallavaram,14.78
Pallavaram,Nerkunram,14.78
Nerkunram,Manali,19.41
Manali,Nerkunram,19.41
Nerkunram,Tiruvottiyur,20.8
Tiruvottiyur,Nerkunram,20.8
Nerkunram,Oulgaret,158.32
Oulgaret,Nerkunram,158.32
Nerkunram,Puducherry,163.26
Puducherry,Nerkunram,163.26
Nerkunram,Yelahanka,324.52
Yelahanka,Nerkunram,324.52
Kendraparha,Puri,141.74
Puri,Kendraparha,141.74
Kendraparha,Balasore,173.83
Balasore,Kendraparha,173.83
Kendraparha,Jamshedpur,331.17
Jamshedpur,Kendraparha,331.17
Kendraparha,Bauria,438.41
Bauria,Kendraparha,438.41
Kendraparha,Baj Baj,433.39
Baj Baj,Kendraparha,433.39
Kendraparha,Haora,411.63
Haora,Kendraparha,411.63
Kendraparha,Kolkata,418.81
Kolkata,Kendraparha,418.81
Kendraparha,Chakapara,414.93
Chakapara,Kendraparha,414.93
Kendraparha,Salt Lake City,422.13
Salt Lake City,Kendraparha,422.13
Kendraparha,Dam Dam,425.1
Dam Dam,Kendraparha,425.1
Sijua,Dhanbad,14.37
Dhanbad,Sijua,14.37
Sijua,Jamshedpur,157.93
Jamshedpur,Sijua,157.93
Sijua,Ranchi,140.68
Ranchi,Sijua,140.68
Sijua,Kankuria,276.95
Kankuria,Sijua,276.95
Sijua,Sabalpur,316.67
Sabalpur,Sijua,316.67
Sijua,Patna,314.98
Patna,Sijua,314.98
Sijua,Krishnanagar,260.02
Krishnanagar,Sijua,260.02
Sijua,Bansbaria,252.89
Bansbaria,Sijua,252.89
Sijua,Chandannagar,262.89
Chandannagar,Sijua,262.89
Sijua,Shrirampur,266.14
Shrirampur,Sijua,266.14
Manali,Tiruvottiyur,5.55
Tiruvottiyur,Manali,5.55
Manali,Madhavaram,7.04
Madhavaram,Manali,7.04
Manali,Chennai,13.15
Chennai,Manali,13.15
Manali,Nerkunram,19.99
Nerkunram,Manali,19.99
Manali,Ambattur,19.18
Ambattur,Manali,19.18
Manali,Madipakkam,32.37
Madipakkam,Manali,32.37
Manali,Pallavaram,32.58
Pallavaram,Manali,32.58
Manali,Oulgaret,172.67
Oulgaret,Manali,172.67
Manali,Puducherry,177.6
Puducherry,Manali,177.6
Manali,Yelahanka,339.14
Yelahanka,Manali,339.14
Kankuria,Krishnanagar,163.83
Krishnanagar,Kankuria,163.83
Kankuria,Bansbaria,233.29
Bansbaria,Kankuria,233.29
Kankuria,Dhanbad,262.78
Dhanbad,Kankuria,262.78
Kankuria,Chandannagar,245.38
Chandannagar,Kankuria,245.38
Kankuria,Bhatpara,239.3
Bhatpara,Kankuria,239.3
Kankuria,Sijua,280.21
Sijua,Kankuria,280.21
Kankuria,Barakpur,251.13
Barakpur,Kankuria,251.13
Kankuria,Shrirampur,251.69
Shrirampur,Kankuria,251.69
Kankuria,Titagarh,253.89
Titagarh,Kankuria,253.89
Kankuria,Supaul,296.52
Supaul,Kankuria,296.52
Chakapara,Salt Lake City,14.65
Salt Lake City,Chakapara,14.65
Chakapara,Haora,7.31
Haora,Chakapara,7.31
Chakapara,Kolkata,10.38
Kolkata,Chakapara,10.38
Chakapara,Dam Dam,15.1
Dam Dam,Chakapara,15.1
Chakapara,Titagarh,16.66
Titagarh,Chakapara,16.66
Chakapara,Shrirampur,16.03
Shrirampur,Chakapara,16.03
Chakapara,Barakpur,19.16
Barakpur,Chakapara,19.16
Chakapara,Baj Baj,32.26
Baj Baj,Chakapara,32.26
Chakapara,Chandannagar,33.01
Chandannagar,Chakapara,33.01
Chakapara,Bauria,37.27
Bauria,Chakapara,37.27
Pappakurichchi,Madurai,136.44
Madurai,Pappakurichchi,136.44
Pappakurichchi,Puducherry,202.62
Puducherry,Pappakurichchi,202.62
Pappakurichchi,Oulgaret,207.65
Oulgaret,Pappakurichchi,207.65
Pappakurichchi,Bangalore,326.53
Bangalore,Pappakurichchi,326.53
Pappakurichchi,Herohalli,346.03
Herohalli,Pappakurichchi,346.03
Pappakurichchi,Byatarayanpur,335.96
Byatarayanpur,Pappakurichchi,335.96
Pappakurichchi,Dasarhalli,355.06
Dasarhalli,Pappakurichchi,355.06
Pappakurichchi,Yelahanka,339.94
Yelahanka,Pappakurichchi,339.94
Pappakurichchi,Pallavaram,308.51
Pallavaram,Pappakurichchi,308.51
Pappakurichchi,Abbigeri,359.24
Abbigeri,Pappakurichchi,359.24
Herohalli,Dasarhalli,9.48
Dasarhalli,Herohalli,9.48
Herohalli,Abbigeri,13.66
Abbigeri,Herohalli,13.66
Herohalli,Bangalore,13.57
Bangalore,Herohalli,13.57
Herohalli,Byatarayanpur,18.56
Byatarayanpur,Herohalli,18.56
Herohalli,Yelahanka,22.94
Yelahanka,Herohalli,22.94
Herohalli,Oulgaret,335.73
Oulgaret,Herohalli,335.73
Herohalli,Pappakurichchi,346.83
Pappakurichchi,Herohalli,346.83
Herohalli,Puducherry,343.97
Puducherry,Herohalli,343.97
Herohalli,Pallavaram,327.34
Pallavaram,Herohalli,327.34
Herohalli,Ambattur,333.94
Ambattur,Herohalli,333.94
Madipakkam,Pallavaram,7.18
Pallavaram,Madipakkam,7.18
Madipakkam,Nerkunram,14.23
Nerkunram,Madipakkam,14.23
Madipakkam,Chennai,19.09
Chennai,Madipakkam,19.09
Madipakkam,Ambattur,24.96
Ambattur,Madipakkam,24.96
Madipakkam,Madhavaram,28.17
Madhavaram,Madipakkam,28.17
Madipakkam,Manali,32.54
Manali,Madipakkam,32.54
Madipakkam,Tiruvottiyur,29.32
Tiruvottiyur,Madipakkam,29.32
Madipakkam,Oulgaret,149.1
Oulgaret,Madipakkam,149.1
Madipakkam,Puducherry,154.04
Puducherry,Madipakkam,154.04
Madipakkam,Pappakurichchi,315.62
Pappakurichchi,Madipakkam,315.62
Sabalpur,Patna,7.75
Patna,Sabalpur,7.75
Sabalpur,Muzaffarpur,66.48
Muzaffarpur,Sabalpur,66.48
Sabalpur,Supaul,247.77
Supaul,Sabalpur,247.77
Sabalpur,Sijua,312.01
Sijua,Sabalpur,312.01
Sabalpur,Varanasi,246.85
Varanasi,Sabalpur,246.85
Sabalpur,Dhanbad,316.03
Dhanbad,Sabalpur,316.03
Sabalpur,Ranchi,320.17
Ranchi,Sabalpur,320.17
Sabalpur,Mirzapur,301.52
Mirzapur,Sabalpur,301.52
Sabalpur,Kankuria,386.29
Kankuria,Sabalpur,386.29
Sabalpur,Jamshedpur,445.12
Jamshedpur,Sabalpur,445.12
Bauria,Baj Baj,5.21
Baj Baj,Bauria,5.21
Bauria,Haora,33.19
Haora,Bauria,33.19
Bauria,Kolkata,30.46
Kolkata,Bauria,30.46
Bauria,Chakapara,39.28
Chakapara,Bauria,39.28
Bauria,Salt Lake City,36.81
Salt Lake City,Bauria,36.81
Bauria,Dam Dam,39.78
Dam Dam,Bauria,39.78
Bauria,Shrirampur,54.7
Shrirampur,Bauria,54.7
Bauria,Titagarh,49.56
Titagarh,Bauria,49.56
Bauria,Barakpur,52.06
Barakpur,Bauria,52.06
Bauria,Chandannagar,71.36
Chandannagar,Bauria,71.36
