Origin,Destination,Distance_km
Amritsar,Ludhiana,141.58
Ludhiana,Shimla,212.43
Shimla,Ludhiana,212.43
Ludhiana,Sultanpur Mazra,312.36
Sultanpur Mazra,Ludhiana,312.36
Ludhiana,Nangloi Jat,314.25
Nangloi Jat,Ludhiana,314.25
Ludhiana,Bhalswa Jahangirpur,302.37
Bhalswa Jahangirpur,Ludhiana,302.37
Ludhiana,Najafgarh,335.67
Najafgarh,Ludhiana,335.67
Ludhiana,Loni,310.81
Loni,Ludhiana,310.81
Ludhiana,Murtazabad,314.74
Murtazabad,Ludhiana,314.74
Ludhiana,New Delhi,319.01
New Delhi,Ludhiana,319.01
Agra,Aligarh,88.52
Aligarh,Agra,88.52
Agra,Gwalior,120.62
Gwalior,Agra,120.62
Agra,Faridabad,178.0
Faridabad,Agra,178.0
Agra,Dalupura,204.64
Dalupura,Agra,204.64
Agra,Ghaziabad,222.79
Ghaziabad,Agra,222.79
Agra,Garhi,207.54
Garhi,Agra,207.54
Agra,Delhi,201.15
Delhi,Agra,201.15
Agra,New Delhi,203.45
New Delhi,Agra,203.45
Agra,Murtazabad,217.91
Murtazabad,Agra,217.91
Agra,Loni,222.65
Loni,Agra,222.65
Madurai,Pappakurichchi,132.48
Pappakurichchi,Madurai,132.48
Madurai,Puducherry,324.78
Puducherry,Madurai,324.78
Madurai,Oulgaret,329.81
Oulgaret,Madurai,329.81
Madurai,Bangalore,420.62
Bangalore,Madurai,420.62
Madurai,Herohalli,440.12
Herohalli,Madurai,440.12
Madurai,Dasarhalli,449.15
Dasarhalli,Madurai,449.15
Madurai,Byatarayanpur,430.04
Byatarayanpur,Madurai,430.04
Madurai,Abbigeri,453.33
Abbigeri,Madurai,453.33
Madurai,Yelahanka,434.02
Yelahanka,Madurai,434.02
Madurai,Pallavaram,430.67
Pallavaram,Madurai,430.67
Jamshedpur,Sijua,158.22
Sijua,Jamshedpur,158.22
Jamshedpur,Ranchi,128.66
Ranchi,Jamshedpur,128.66
Jamshedpur,Dhanbad,148.81
Dhanbad,Jamshedpur,148.81
Jamshedpur,Balasore,198.3
Balasore,Jamshedpur,198.3
Jamshedpur,Baj Baj,300.09
Baj Baj,Jamshedpur,300.09
Jamshedpur,Bauria,305.11
Bauria,Jamshedpur,305.11
Jamshedpur,Haora,278.33
Haora,Jamshedpur,278.33
Jamshedpur,Shrirampur,289.33
Shrirampur,Jamshedpur,289.33
Jamshedpur,Chakapara,281.63
Chakapara,Jamshedpur,281.63
Jamshedpur,Barakpur,297.11
Barakpur,Jamshedpur,297.11
Prayagraj,Mirzapur,96.45
Mirzapur,Prayagraj,96.45
Prayagraj,Varanasi,126.01
Varanasi,Prayagraj,126.01
Prayagraj,Lucknow,206.49
Lucknow,Prayagraj,206.49
Prayagraj,Kanpur,201.75
Kanpur,Prayagraj,201.75
Prayagraj,Jabalpur,366.44
Jabalpur,Prayagraj,366.44
Prayagraj,Patna,361.45
Patna,Prayagraj,361.45
Prayagraj,Sabalpur,367.58
Sabalpur,Prayagraj,367.58
Prayagraj,Bilaspur,549.61
Bilaspur,Prayagraj,549.61
Prayagraj,Muzaffarpur,421.7
Muzaffarpur,Prayagraj,421.7
Prayagraj,Gwalior,459.91
Gwalior,Prayagraj,459.91
Nasik,Kalyan,132.45
Kalyan,Nasik,132.45
Nasik,Thane,145.63
Thane,Nasik,145.63
Nasik,Bhayandar,165.87
Bhayandar,Nasik,165.87
Nasik,Vasai-Virar,169.98
Vasai-Virar,Nasik,169.98
Nasik,Mumbai,165.81
Mumbai,Nasik,165.81
Nasik,Pimpri-Chinchwad,200.85
Pimpri-Chinchwad,Nasik,200.85
Nasik,Pune,211.35
Pune,Nasik,211.35
Nasik,Surat,226.46
Surat,Nasik,226.46
Nasik,Aurangabad,177.32
Aurangabad,Nasik,177.32
Nasik,Vadodara,354.83
Vadodara,Nasik,354.83
Faridabad,Dalupura,27.17
Dalupura,Faridabad,27.17
Faridabad,Delhi,23.69
Delhi,Faridabad,23.69
Faridabad,Garhi,30.07
Garhi,Faridabad,30.07
Faridabad,New Delhi,25.98
New Delhi,Faridabad,25.98
Faridabad,Ghaziabad,45.33
Ghaziabad,Faridabad,45.33
Faridabad,Murtazabad,40.45
Murtazabad,Faridabad,40.45
Faridabad,Loni,45.19
Loni,Faridabad,45.19
Faridabad,Bhalswa Jahangirpur,41.91
Bhalswa Jahangirpur,Faridabad,41.91
Faridabad,Nangloi Jat,44.31
Nangloi Jat,Faridabad,44.31
Faridabad,Sultanpur Mazra,46.11
Sultanpur Mazra,Faridabad,46.11
Meerut,Ghaziabad,56.59
Ghaziabad,Meerut,56.59
Meerut,Loni,78.16
Loni,Meerut,78.16
Meerut,Murtazabad,75.66
Murtazabad,Meerut,75.66
Meerut,Garhi,66.56
Garhi,Meerut,66.56
Meerut,Dalupura,70.48
Dalupura,Meerut,70.48
Meerut,Bhalswa Jahangirpur,86.75
Bhalswa Jahangirpur,Meerut,86.75
Meerut,Delhi,77.08
Delhi,Meerut,77.08
Meerut,New Delhi,79.37
New Delhi,Meerut,79.37
Meerut,Faridabad,91.63
Faridabad,Meerut,91.63
Meerut,Sultanpur Mazra,96.0
Sultanpur Mazra,Meerut,96.0
Jabalpur,Nagpur,274.4
Nagpur,Jabalpur,274.4
Jabalpur,Bilaspur,315.13
Bilaspur,Jabalpur,315.13
Jabalpur,Bhopal,312.46
Bhopal,Jabalpur,312.46
Jabalpur,Raipur,349.46
Raipur,Jabalpur,349.46
Jabalpur,Prayagraj,370.89
Prayagraj,Jabalpur,370.89
Jabalpur,Mirzapur,406.35
Mirzapur,Jabalpur,406.35
Jabalpur,Kanpur,451.42
Kanpur,Jabalpur,451.42
Jabalpur,Gwalior,444.48
Gwalior,Jabalpur,444.48
Jabalpur,Varanasi,472.84
Varanasi,Jabalpur,472.84
Jabalpur,Lucknow,537.04
Lucknow,Jabalpur,537.04
Kalyan,Thane,28.76
Thane,Kalyan,28.76
Kalyan,Bhayandar,51.59
Bhayandar,Kalyan,51.59
Kalyan,Mumbai,48.94
Mumbai,Kalyan,48.94
Kalyan,Vasai-Virar,58.38
Vasai-Virar,Kalyan,58.38
Kalyan,Pimpri-Chinchwad,141.9
Pimpri-Chinchwad,Kalyan,141.9
Kalyan,Nasik,133.19
Nasik,Kalyan,133.19
Kalyan,Pune,154.09
Pune,Kalyan,154.09
Kalyan,Surat,266.51
Surat,Kalyan,266.51
Kalyan,Aurangabad,292.84
Aurangabad,Kalyan,292.84
Kalyan,Vadodara,394.88
Vadodara,Kalyan,394.88
Vasai-Virar,Bhayandar,32.38
Bhayandar,Vasai-Virar,32.38
Vasai-Virar,Thane,40.56
Thane,Vasai-Virar,40.56
Vasai-Virar,Mumbai,54.54
Mumbai,Vasai-Virar,54.54
Vasai-Virar,Kalyan,58.22
Kalyan,Vasai-Virar,58.22
Vasai-Virar,Nasik,170.61
Nasik,Vasai-Virar,170.61
Vasai-Virar,Pimpri-Chinchwad,171.7
Pimpri-Chinchwad,Vasai-Virar,171.7
Vasai-Virar,Pune,183.89
Pune,Vasai-Virar,183.89
Vasai-Virar,Surat,239.59
Surat,Vasai-Virar,239.59
Vasai-Virar,Aurangabad,330.25
Aurangabad,Vasai-Virar,330.25
